issue_number,issue_title,issue_url,posted_at,help_wanted_applied_at,is_proposal_posted,notes
92861,"[Exploratory] iOS - Hold - Approve only the unheld amount offline, Approve button display on the approved report",https://github.com/Expensify/App/issues/92861,2026-06-06T11:44:25Z,,no,Watcher running
92859,[Exploratory] Invoice - Add bank account creates a new workspace on every attempt,https://github.com/Expensify/App/issues/92859,2026-06-06T11:27:24Z,,no,Watcher running
